epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,85.3852,0.26959,55.2304,0.28389,0.00746,0.5,0.05337,0.03803,0.31935,26.0199,0.36378,0.000296964,0.000296964,0.000296964
15,91.434,0.28972,55.4092,0.27786,0.01481,0.5,0.15009,0.11759,0.35395,35.1243,0.3626,0.000255731,0.000255731,0.000255731
16,98.0897,0.34242,55.484,0.28464,0.01481,0.5,0.15009,0.11759,0.35395,35.1243,0.3626,0.000214497,0.000214497,0.000214497
17,104.146,0.29376,55.5486,0.28522,0.01481,0.5,0.15009,0.11759,0.35395,35.1243,0.3626,0.000173264,0.000173264,0.000173264
18,110.443,0.20555,59.869,0.21575,0.01481,0.5,0.15009,0.11759,0.35395,35.1243,0.3626,0.000132031,0.000132031,0.000132031
19,116.733,0.35284,56.5637,0.29118,0.01481,0.5,0.15009,0.11759,0.35395,35.1243,0.3626,9.0797e-05,9.0797e-05,9.0797e-05
20,123.043,0.2603,55.528,0.28945,0.01802,0.5,0.06737,0.04811,0.36756,36.7434,0.36909,4.95635e-05,4.95635e-05,4.95635e-05
1,4.62863,1.24847,71.6457,1.20022,0,0,0,0,1.05488,11.0226,1.09959,2.727e-05,2.727e-05,2.727e-05
2,8.37522,1.24729,22.5236,1.21489,0,0,0,0,1.00008,10.6128,1.06416,6.30001e-05,6.30001e-05,6.30001e-05
3,11.865,0.76661,36.1399,0.96147,0,0,0,0,1.00392,10.5208,1.06777,9.80102e-05,9.80102e-05,9.80102e-05
4,15.3798,0.49953,116.52,0.545,0,0,0,0,0.95445,10.3918,0.98635,0.0001323,0.0001323,0.0001323
5,18.7875,0.56928,115.199,0.46654,0,0,0,0,0.77599,11.8718,0.76219,0.000165871,0.000165871,0.000165871
6,22.2622,0.33695,77.1846,0.42295,0.05128,0.66667,0.07196,0.05527,0.62893,11.1965,0.73762,0.000198721,0.000198721,0.000198721
7,25.6793,0.53313,110.665,0.4373,0.05128,0.66667,0.07196,0.05527,0.62893,11.1965,0.73762,0.000230851,0.000230851,0.000230851
8,29.2793,0.99307,33.4297,0.69615,0.03947,1,0.12987,0.08693,0.81629,11.3971,0.79099,0.000262262,0.000262262,0.000262262
9,32.7807,1.23111,29.1341,0.89187,0.01887,1,0.70625,0.49622,0.80757,11.3698,0.80167,0.000292953,0.000292953,0.000292953
10,36.2848,0.51946,72.115,0.45388,0.01887,1,0.70625,0.49622,0.80757,11.3698,0.80167,0.000322923,0.000322923,0.000322923
11,39.8302,1.13212,24.3802,1.0374,0.01538,1,0.20731,0.18277,0.75529,12.8477,0.8195,0.000352174,0.000352174,0.000352174
12,43.4791,0.36662,74.9895,0.4184,0.01538,1,0.20731,0.18277,0.75529,12.8477,0.8195,0.000380705,0.000380705,0.000380705
13,47.047,0.25463,116.483,0.23753,0.01053,1,0.2037,0.17953,0.75338,12.9433,0.8807,0.000408516,0.000408516,0.000408516
14,50.8417,0.91002,29.6228,0.93269,0.01053,1,0.2037,0.17953,0.75338,12.9433,0.8807,0.000435606,0.000435606,0.000435606
15,54.7158,0.86707,30.844,0.87573,0.00752,1,0.2434,0.21181,0.75765,13.8573,0.86988,0.000461977,0.000461977,0.000461977
16,58.6069,0.75458,111.438,0.54131,0.00752,1,0.2434,0.21181,0.75765,13.8573,0.86988,0.000487629,0.000487629,0.000487629
17,62.7151,0.78239,71.2701,0.59367,0.00752,1,0.2434,0.21181,0.75765,13.8573,0.86988,0.00051256,0.00051256,0.00051256
18,66.7383,0.64818,28.1034,0.64475,0.00536,1,0.41,0.28457,0.76462,14.4108,0.87041,0.000536771,0.000536771,0.000536771
19,71.0114,0.3961,78.795,0.45281,0.00536,1,0.41,0.28457,0.76462,14.4108,0.87041,0.000560262,0.000560262,0.000560262
20,75.0081,0.59414,73.743,0.63695,0.00536,1,0.41,0.28457,0.76462,14.4108,0.87041,0.000583034,0.000583034,0.000583034
21,79.1291,0.44162,72.9039,0.44316,0.00536,1,0.41,0.28457,0.76462,14.4108,0.87041,0.000605085,0.000605085,0.000605085
22,82.9544,0.19758,152.132,0.24544,0.00224,0.66667,0.01599,0.0085,0.80305,13.6203,0.93957,0.000626416,0.000626416,0.000626416
23,86.6722,0.53275,77.2073,0.46859,0.00224,0.66667,0.01599,0.0085,0.80305,13.6203,0.93957,0.000647028,0.000647028,0.000647028
24,90.702,0.97943,26.2376,0.90873,0.00224,0.66667,0.01599,0.0085,0.80305,13.6203,0.93957,0.00066692,0.00066692,0.00066692
25,94.6526,0.6485,30.3844,0.66549,0.00224,0.66667,0.01599,0.0085,0.80305,13.6203,0.93957,0.000686091,0.000686091,0.000686091
26,98.4509,0.6055,115.932,0.37059,0.00298,1,0.00699,0.00314,0.80163,13.6001,0.97447,0.000684022,0.000684022,0.000684022
27,102.218,0.35017,112.85,0.2291,0.00298,1,0.00699,0.00314,0.80163,13.6001,0.97447,0.000675023,0.000675023,0.000675023
28,106.117,1.03967,31.1408,1.05727,0.00298,1,0.00699,0.00314,0.80163,13.6001,0.97447,0.000666024,0.000666024,0.000666024
29,109.929,0.92194,47.5105,0.74633,0.00298,1,0.00699,0.00314,0.80163,13.6001,0.97447,0.000657025,0.000657025,0.000657025
30,113.711,0.86688,65.6815,0.68382,0.00347,1,0.67062,0.46967,0.87511,14.5702,0.99684,0.000648026,0.000648026,0.000648026
31,117.598,0.83379,23.5036,0.88473,0.00347,1,0.67062,0.46967,0.87511,14.5702,0.99684,0.000639027,0.000639027,0.000639027
32,121.644,0.67941,40.5205,0.63293,0.00347,1,0.67062,0.46967,0.87511,14.5702,0.99684,0.000630028,0.000630028,0.000630028
33,125.498,0.42626,102.735,0.53364,0.00347,1,0.67062,0.46967,0.87511,14.5702,0.99684,0.000621029,0.000621029,0.000621029
34,129.314,0.81992,38.6414,0.70585,0.20112,1,0.775,0.5704,0.87577,16.0575,0.98261,0.00061203,0.00061203,0.00061203
35,133.071,0.45239,84.596,0.4532,0.20112,1,0.775,0.5704,0.87577,16.0575,0.98261,0.000603031,0.000603031,0.000603031
36,136.89,1.2543,23.5486,0.96692,0.20112,1,0.775,0.5704,0.87577,16.0575,0.98261,0.000594031,0.000594031,0.000594031
37,140.895,0.40403,116.157,0.24413,0.20112,1,0.775,0.5704,0.87577,16.0575,0.98261,0.000585032,0.000585032,0.000585032
38,144.892,1.14366,22.3295,1.03025,0.704,0.66667,0.775,0.62585,0.96251,14.6899,1.04653,0.000576033,0.000576033,0.000576033
39,148.732,0.78616,35.5471,0.73993,0.704,0.66667,0.775,0.62585,0.96251,14.6899,1.04653,0.000567034,0.000567034,0.000567034
40,152.634,0.52457,66.7317,0.43758,0.704,0.66667,0.775,0.62585,0.96251,14.6899,1.04653,0.000558035,0.000558035,0.000558035
41,156.617,0.65475,98.2728,0.5064,0.704,0.66667,0.775,0.62585,0.96251,14.6899,1.04653,0.000549036,0.000549036,0.000549036
42,160.459,0.63921,72.2365,0.58398,0.91657,0.66667,0.80643,0.5981,0.91138,14.5489,1.00896,0.000540037,0.000540037,0.000540037
43,164.17,0.43367,70.6012,0.39319,0.91657,0.66667,0.80643,0.5981,0.91138,14.5489,1.00896,0.000531038,0.000531038,0.000531038
44,167.923,0.23349,106.139,0.23484,0.91657,0.66667,0.80643,0.5981,0.91138,14.5489,1.00896,0.000522039,0.000522039,0.000522039
45,171.629,0.7243,62.2439,0.71504,0.91657,0.66667,0.80643,0.5981,0.91138,14.5489,1.00896,0.00051304,0.00051304,0.00051304
46,175.415,0.70539,30.9578,0.67508,0.96584,0.66667,0.764,0.57501,0.82353,13.757,0.98364,0.00050404,0.00050404,0.00050404
47,179.217,0.80652,17.8538,0.78253,0.96584,0.66667,0.764,0.57501,0.82353,13.757,0.98364,0.000495041,0.000495041,0.000495041
48,183.02,0.73024,26.83,0.74068,0.96584,0.66667,0.764,0.57501,0.82353,13.757,0.98364,0.000486042,0.000486042,0.000486042
49,186.788,0.45775,73.6983,0.44267,0.96584,0.66667,0.764,0.57501,0.82353,13.757,0.98364,0.000477043,0.000477043,0.000477043
50,190.632,0.66254,28.9813,0.71801,0.97864,0.66667,0.83,0.58142,0.86607,12.5666,1.00129,0.000468044,0.000468044,0.000468044
51,194.368,0.81292,56.9777,0.72258,0.97864,0.66667,0.83,0.58142,0.86607,12.5666,1.00129,0.000459045,0.000459045,0.000459045
52,198.293,0.43044,98.4389,0.5066,0.97864,0.66667,0.83,0.58142,0.86607,12.5666,1.00129,0.000450046,0.000450046,0.000450046
53,202.092,0.47814,63.3755,0.4472,0.97864,0.66667,0.83,0.58142,0.86607,12.5666,1.00129,0.000441047,0.000441047,0.000441047
54,205.882,0.4572,65.3568,0.42816,0.97925,0.66667,0.755,0.49861,0.91713,12.0184,1.01992,0.000432048,0.000432048,0.000432048
55,209.646,0.91534,30.0815,0.742,0.97925,0.66667,0.755,0.49861,0.91713,12.0184,1.01992,0.000423049,0.000423049,0.000423049
56,213.451,0.29738,69.0054,0.46386,0.97925,0.66667,0.755,0.49861,0.91713,12.0184,1.01992,0.000414049,0.000414049,0.000414049
57,217.226,0.74475,31.6788,0.61066,0.97925,0.66667,0.755,0.49861,0.91713,12.0184,1.01992,0.00040505,0.00040505,0.00040505
58,221.076,0.50164,66.6468,0.47007,0.96959,0.66667,0.6748,0.43979,0.95249,11.6102,1.02426,0.000396051,0.000396051,0.000396051
59,224.923,0.23463,105.584,0.20928,0.96959,0.66667,0.6748,0.43979,0.95249,11.6102,1.02426,0.000387052,0.000387052,0.000387052
60,228.857,0.57671,34.3887,0.58426,0.96959,0.66667,0.6748,0.43979,0.95249,11.6102,1.02426,0.000378053,0.000378053,0.000378053
61,232.856,1.15291,20.036,0.95638,0.96959,0.66667,0.6748,0.43979,0.95249,11.6102,1.02426,0.000369054,0.000369054,0.000369054
62,236.796,0.7423,24.8808,0.79051,0.97724,0.66667,0.67588,0.4406,0.88788,11.0811,1.01888,0.000360055,0.000360055,0.000360055
63,240.603,1.01808,15.1141,0.89394,0.97724,0.66667,0.67588,0.4406,0.88788,11.0811,1.01888,0.000351056,0.000351056,0.000351056
64,244.496,0.43133,96.6949,0.41158,0.97724,0.66667,0.67588,0.4406,0.88788,11.0811,1.01888,0.000342057,0.000342057,0.000342057
65,248.364,0.24268,104.42,0.26983,0.97724,0.66667,0.67588,0.4406,0.88788,11.0811,1.01888,0.000333058,0.000333058,0.000333058
66,252.216,0.21744,133.272,0.22486,0.98061,0.66667,0.69914,0.5253,0.78304,10.5823,1.00801,0.000324058,0.000324058,0.000324058
67,256.129,0.80851,40.1117,0.70146,0.98061,0.66667,0.69914,0.5253,0.78304,10.5823,1.00801,0.000315059,0.000315059,0.000315059
68,259.98,0.48499,29.6248,0.65462,0.98061,0.66667,0.69914,0.5253,0.78304,10.5823,1.00801,0.00030606,0.00030606,0.00030606
69,263.759,0.15229,104.258,0.22127,0.98061,0.66667,0.69914,0.5253,0.78304,10.5823,1.00801,0.000297061,0.000297061,0.000297061
70,267.662,0.40829,64.8057,0.41702,0.98174,0.66667,0.755,0.57413,0.77595,9.68525,1.01144,0.000288062,0.000288062,0.000288062
71,271.507,0.67828,34.8459,0.71578,0.98174,0.66667,0.755,0.57413,0.77595,9.68525,1.01144,0.000279063,0.000279063,0.000279063
72,275.414,0.44292,66.5418,0.53011,0.98174,0.66667,0.755,0.57413,0.77595,9.68525,1.01144,0.000270064,0.000270064,0.000270064
73,279.227,0.75479,36.9192,0.84772,0.98174,0.66667,0.755,0.57413,0.77595,9.68525,1.01144,0.000261065,0.000261065,0.000261065
74,283.264,0.68476,30.1924,0.72494,0.98117,0.66667,0.755,0.59095,0.74121,9.72288,0.98757,0.000252066,0.000252066,0.000252066
75,287.172,0.76887,57.7469,0.76557,0.98117,0.66667,0.755,0.59095,0.74121,9.72288,0.98757,0.000243067,0.000243067,0.000243067
76,291.068,0.77872,22.2247,0.68618,0.98117,0.66667,0.755,0.59095,0.74121,9.72288,0.98757,0.000234068,0.000234068,0.000234068
77,294.894,1.0055,61.633,0.77887,0.98117,0.66667,0.755,0.59095,0.74121,9.72288,0.98757,0.000225068,0.000225068,0.000225068
78,298.773,0.89676,12.2681,0.88708,0.97849,0.66667,0.74115,0.54333,0.68095,9.27851,0.95522,0.000216069,0.000216069,0.000216069
79,302.715,0.47227,60.5751,0.45027,0.97849,0.66667,0.74115,0.54333,0.68095,9.27851,0.95522,0.00020707,0.00020707,0.00020707
80,306.643,0.4728,76.3032,0.42278,0.97849,0.66667,0.74115,0.54333,0.68095,9.27851,0.95522,0.000198071,0.000198071,0.000198071
81,310.53,0.42914,92.9925,0.50423,0.97849,0.66667,0.74115,0.54333,0.68095,9.27851,0.95522,0.000189072,0.000189072,0.000189072
82,314.511,0.7967,34.2783,0.74396,0.97543,0.66667,0.775,0.57043,0.6819,9.02998,0.94324,0.000180073,0.000180073,0.000180073
83,318.501,0.68676,59.1154,0.67595,0.97543,0.66667,0.775,0.57043,0.6819,9.02998,0.94324,0.000171074,0.000171074,0.000171074
84,322.305,0.49526,33.7351,0.66725,0.97543,0.66667,0.775,0.57043,0.6819,9.02998,0.94324,0.000162075,0.000162075,0.000162075
85,326.29,0.43088,65.6335,0.41824,0.97543,0.66667,0.775,0.57043,0.6819,9.02998,0.94324,0.000153076,0.000153076,0.000153076
86,330.191,0.53402,32.9982,0.61579,0.97705,0.66667,0.7475,0.60085,0.68738,8.5413,0.93795,0.000144077,0.000144077,0.000144077
87,334.016,0.61123,64.7684,0.46943,0.97705,0.66667,0.7475,0.60085,0.68738,8.5413,0.93795,0.000135077,0.000135077,0.000135077
88,337.991,0.51414,38.3949,0.68104,0.97705,0.66667,0.7475,0.60085,0.68738,8.5413,0.93795,0.000126078,0.000126078,0.000126078
89,341.86,0.34695,64.3977,0.36824,0.97705,0.66667,0.7475,0.60085,0.68738,8.5413,0.93795,0.000117079,0.000117079,0.000117079
90,345.861,0.42525,69.2288,0.46883,0.97889,0.66667,0.74115,0.59556,0.6871,8.07734,0.93751,0.00010808,0.00010808,0.00010808
91,349.684,0.3845,65.112,0.37395,0.97889,0.66667,0.74115,0.59556,0.6871,8.07734,0.93751,9.9081e-05,9.9081e-05,9.9081e-05
92,353.547,0.69056,62.6544,0.63761,0.97889,0.66667,0.74115,0.59556,0.6871,8.07734,0.93751,9.00819e-05,9.00819e-05,9.00819e-05
